SurfacePositionX,SurfacePositionY,SurfacePositionZ,HitPositionX,HitPositionY,HitPositionZ,PointOfClosestApproachX,PointOfClosestApproachY,PointOfClosestApproachZ,HitDirectionX,HitDirectionY,HitDirectionZ,eventID,volumeID
4.54747e-13,179.4,407.582,1098.44,180.731,406.987,1098.44,180.731,406.987,0.150285,0.403951,0.902352,81,116
4.54747e-13,194.35,433.477,1102.96,192.883,434.133,1102.96,192.883,434.133,0.150257,0.40394,0.902361,81,116
0,209.3,459.371,1107.48,205.035,461.28,1107.48,205.035,461.28,0.150245,0.403937,0.902364,81,116
4.54747e-13,224.25,485.265,1111.8,216.654,487.236,1112,217.187,488.426,0.150233,0.403926,0.902371,81,116
0,1331.05,3000,1530.32,1338.35,2996.74,1530.32,1338.35,2996.74,0.150172,0.403266,0.902677,81,117
4.54747e-13,1346,3025.89,1534.84,1350.48,3023.89,1534.84,1350.48,3023.89,0.150188,0.403269,0.902673,81,117
-4.54747e-13,1360.95,3051.79,1538.66,1360.74,3046.86,1539.36,1362.61,3051.05,0.150197,0.403297,0.902658,81,117
0,1375.9,3077.68,1543.88,1374.74,3078.2,1543.88,1374.74,3078.2,0.150194,0.403297,0.902659,81,117
-9.09495e-13,1510.45,3407.58,1597.79,1519.48,3402.16,1597.98,1520,3403.32,0.150249,0.403288,0.902654,81,117
0,1525.4,3433.48,1602.5,1532.13,3430.47,1602.5,1532.13,3430.47,0.15025,0.4033,0.902649,81,117
-9.09495e-13,1540.35,3459.37,1607.02,1544.26,3457.62,1607.02,1544.26,3457.62,0.150225,0.403314,0.902646,81,117
0,1555.3,3485.26,1611.54,1556.39,3484.78,1611.54,1556.39,3484.78,0.150196,0.403338,0.90264,81,117
0,2676.55,6000,2030.18,2679.18,6000.45,2029.95,2678.58,5999.09,0.150496,0.402314,0.903047,81,124
9.09495e-13,2691.5,6025.89,2034.31,2690.22,6025.22,2034.48,2690.68,6026.26,0.150488,0.402322,0.903045,81,124
0,2706.45,6051.79,2039.01,2702.78,6053.42,2039.01,2702.78,6053.42,0.150495,0.402327,0.903042,81,124
9.09495e-13,2721.4,6077.68,2043.53,2714.89,6080.58,2043.53,2714.89,6080.58,0.150477,0.40233,0.903043,81,124
-4.54747e-13,-374.25,-407.582,-69.4545,-367.089,-410.582,-69.4339,-368.795,-412.481,-0.0080675,0.668125,0.744006,82,9
-4.54747e-13,-359.3,-381.688,-69.67,-349.248,-390.715,-69.67,-349.248,-390.715,-0.00807355,0.668138,0.743993,82,9
-4.54747e-13,-329.4,-381.688,-69.8312,-335.9,-375.851,-69.8312,-335.9,-375.851,-0.00806977,0.668142,0.74399,82,9
0,-314.45,-355.794,-70.0367,-318.898,-356.92,-70.0675,-316.353,-354.085,-0.0080881,0.668147,0.743986,82,9
0,-299.5,-329.9,-70.3156,-295.855,-331.261,-70.3041,-296.806,-332.32,-0.00808689,0.668153,0.74398,82,9
0,0,0,-73.9043,0.914861,-0.821642,-73.9043,0.91486,-0.821643,-0.00808149,0.668165,0.743969,82,3
0,14.95,25.8942,-74.123,19.0007,19.316,-74.1406,20.4623,20.9435,-0.00807753,0.668167,0.743968,82,3
4.54747e-13,29.9,51.7883,-74.3775,40.0098,42.709,-74.3775,40.0098,42.709,-0.00813313,0.668146,0.743985,82,3
4.54747e-13,59.8,51.7883,-74.5401,53.3583,57.5731,-74.5401,53.3583,57.5731,-0.00814121,0.668129,0.744001,82,3
4.54747e-13,74.75,77.6825,-74.7702,72.2424,78.6016,-74.7783,72.9049,79.3394,-0.00814615,0.668128,0.744002,82,3
0,2317.75,2592.42,-102.675,2325.09,2585.83,-102.675,2325.09,2585.83,-0.00813244,0.667803,0.744293,82,9
0,2347.65,2592.42,-102.837,2338.42,2600.69,-102.837,2338.42,2600.69,-0.00812077,0.667791,0.744304,82,9
-4.54747e-13,2362.6,2618.31,-103.075,2357.96,2622.47,-103.075,2357.96,2622.47,-0.0081248,0.667795,0.744301,82,9
4.54747e-13,2377.55,2644.21,-103.312,2377.5,2644.25,-103.312,2377.5,2644.25,-0.00812346,0.667794,0.744302,82,9
0,2392.5,2670.1,-103.55,2397.04,2666.03,-103.55,2397.04,2666.03,-0.00811615,0.667798,0.744298,82,9
9.09495e-13,2706.45,3000,-107.271,2703,3007.03,-107.247,2701.04,3004.85,-0.00811803,0.667813,0.744285,82,9
0,2721.4,3025.89,-107.512,2722.83,3029.13,-107.485,2720.58,3026.63,-0.00810835,0.667796,0.7443,82,9
9.09495e-13,2736.35,3051.79,-107.719,2739.91,3048.17,-107.722,2740.12,3048.4,-0.00809712,0.667803,0.744294,82,9
0,2751.3,3077.68,-107.949,2758.87,3069.31,-107.959,2759.66,3070.18,-0.00809696,0.667796,0.7443,82,9
